id,hoard_id,cross_reference
565,"ch9,530","ch8,442"
566,"ch9,538",igch1357
567,"ch9,539",igch1601
568,"ch9,539","ch8,587"
569,"ch9,543","ch8,474"
570,"ch9,554",igch1813
571,"ch9,555",igch1355
572,"ch9,557","ch4,72"
573,"ch9,558","ch6,46"
574,"ch9,558","ch7,134"
575,"ch9,568","ch8,536"
576,"ch9,569","ch3,80"
577,"ch9,569","ch8,532"
578,"ch9,570",igch1360
579,"ch9,573","ch8,546"
580,"ch9,582","ch2,127"
581,"ch9,582","ch7,146"
582,"ch9,586","ch8,550"
583,"ch9,589","ch1,75"
584,"ch9,592","ch2,136"
585,"ch9,596",igch1874
586,"ch9,596","ch7,10"
587,"ch9,597","ch8,55"
588,"ch9,600",igch1895
589,"ch9,601",igch1898
590,"ch9,602",igch1901
591,"ch9,603",igch1909
592,"ch9,607","ch8,46"
593,"ch9,608",igch1900
594,"ch9,609",igch1902
595,"ch9,610",igch1903
596,"ch9,611",igch1904
597,"ch9,611","ch1,19"
598,"ch9,613",igch1915
599,"ch9,614",igch1916
600,"ch9,615",igch1923
601,"ch9,616",igch1926
602,"ch9,617",igch1925
603,"ch9,618",igch1928
604,"ch9,619",igch1929
605,"ch9,622",igch1967
606,"ch9,623",igch2145
607,"ch9,623","ch8,590"
608,"ch9,625",igch1971
609,"ch9,626",igch1950
610,"ch9,627",igch2024
611,"ch9,628",igch2025
612,"ch9,629","ch8,594"
613,"ch9,631","ch4,38"
614,"ch9,632",igch2185
615,"ch9,632","ch8,590"
616,"ch9,633",igch2184
617,"ch9,633","ch8,590"
618,"ch9,634",igch1956
619,"ch9,635",igch1957
620,"ch9,636",igch2198
621,"ch9,636","ch8,590"
622,"ch9,638",igch1966
623,"ch9,640",igch1959
624,"ch9,641",igch1961
625,"ch9,643",igch1977
626,"ch9,645",igch0260
627,"ch9,646",igch1986
628,"ch9,647","ch1,44"
629,"ch9,650",igch1985
630,"ch9,655","ch4,34"
631,"ch9,655","ch6,26"
632,"ch9,658",igch1995
633,"ch9,661",igch2000
634,"ch9,662",igch1998
635,"ch9,664",igch2004
636,"ch9,665",igch2006
637,"ch9,666",igch2034
638,"ch9,667",igch2027
639,"ch9,670",igch2232
640,"ch9,674",igch2016
641,"ch9,677",igch2048
642,"ch9,680",igch1644
643,"ch9,680","ch2,17"
644,"ch9,680","ch4,11"
645,"ch9,680","ch8,44"
646,"ch9,681",igch1634
647,"ch9,682",igch1653
648,"ch9,682","ch8,587"
649,"ch9,683",igch2269
650,"ch9,684",igch1681
651,"ch9,692",igch1706
652,"ch9,696",igch1713
653,"ch9,697",igch1721
654,"ch9,698",igch1722
655,"ch9,700","ch7,a35"
656,"ch9,703",igch2311
657,"ch9,706",igch2318
658,"ch9,715",igch2328
659,"ch9,717",igch2337
660,"ch9,718",igch2343
661,"ch9,719",igch2333
662,"ch9,722",igch2341
663,"ch9,739","ch3,120"
664,"ch10,2",igch0004
665,"ch10,8","ch9,5"
666,"ch10,9",igch0012
667,"ch10,10",igch0052
668,"ch10,11","ch8,63"
669,"ch10,11","ch9,4"
670,"ch10,21","ch9,61"
671,"ch10,24",igch0058
672,"ch10,28","ch7,46"
673,"ch10,29","ch9,87"
674,"ch10,39","ch8,254"
675,"ch10,42","ch1,27"
676,"ch10,42","ch2,52"
677,"ch10,42","ch6,20"
678,"ch10,49",igch0094
679,"ch10,65",igch0093
680,"ch10,65","ch9,141"
681,"ch10,66","ch8,261"
682,"ch10,67",igch0138
683,"ch10,68",igch0444
684,"ch10,74","ch9,162"
685,"ch10,75","ch9,161"
686,"ch10,92",igch0869
687,"ch10,92","ch8,301"
688,"ch10,93",igch0866
689,"ch10,96","ch8,395"
690,"ch10,97","ch9,227"
691,"ch10,101","ch9,123"
692,"ch10,102",igch0265
693,"ch10,116",igch0860
694,"ch10,117","ch1,88"
695,"ch10,117","ch9,245"
696,"ch10,129",igch0890
697,"ch10,134",igch0559
698,"ch10,137",igch0315
699,"ch10,138",igch0511
700,"ch10,159",igch0261
701,"ch10,163","ch8,3"
702,"ch10,168","ch8,371"
703,"ch10,169",igch1252
704,"ch10,185",igch0352
705,"ch10,201","ch9,341"
706,"ch10,202","ch7,8"
707,"ch10,203","ch1,3"
708,"ch10,205",igch1789
709,"ch10,211","ch9,352"
710,"ch10,212","ch8,48"
711,"ch10,214",igch1251
712,"ch10,216",igch1489
713,"ch10,216","ch8,587"
714,"ch10,223",igch1225
715,"ch10,225","ch8,58"
716,"ch10,229","ch5,17"
717,"ch10,229","ch8,96"
718,"ch10,229","ch9,387"
719,"ch10,231",igch1210
720,"ch10,232","ch8,27"
